name,price,rating,postcode,walking_distance
Bloomsbury Janet Poole House,£405.00,4.54,WC1E 6AA,1.4899435622793702
Grosvenor House,£569.00,4.52,WC2B 5TB,0.4628006889931752
East Central House,£349.00,4.35,EC1V 3RH,1.8717496973625005
Camden Hawley Crescent,£554.00,4.23,NW1 8NP,3.430530947515236
Prince Consort Village,£345.00,4.19,W12 9PL,8.655255272817907
Portobello Garrow House,£329.00,3.95,W10 5BN,6.5814692807432005
Somerset Court,£419.00,3.93,NW1 1AS,2.2421054863449545
Felda House,£255.00,3.86,HA9 0UU,12.510497726517183
Moonraker Point,£529.00,3.86,SE1 0FN,1.796305635421146
Piccadilly Court,£325.00,3.85,N7 9BJ,3.5738612791679323
Emily Bowes Court,£260.00,3.82,N17 9FD,9.060398049611068
Glassyard Building,£375.00,3.81,SW9 9JF,5.2096333305507
Hayloft Point,£169.00,3.8,E1 7JH,2.801759454122445
iQ Vega,£431.00,3.8,SW8 1RZ,3.711432844580269
Stratford One,£750.00,3.78,E20 1GS,7.828528371087304
Grand Felda House,£230.00,3.73,HA9 0EF,12.694822812696286
Spring Mews,£375.00,3.72,SE11 5AL,2.922057013433146
Manna Ash House,£369.00,3.67,SE1 0BW,1.7067586816431057
Canvas Wembley,£310.00,3.66,HA9 0UU,12.510497726517183
Pavilion Court,£265.00,3.64,HA9 0PE,12.112618442420032
Drapery Place,£385.00,3.63,E1 8EU,3.0952266398087325
Dinwiddy House,£229.87,3.62,N1 9NF,1.72782504841267
Goldsmiths House,£224.00,3.6,NW1 3SY,2.593698587016491
AXO Camden,£330.00,3.59,NW5 2BJ,4.0570328167036225
Paul Robeson House,£229.87,3.38,WC1X 9EH,1.7475838170715297
AXO Oxford Circus,£530.00,3.35,W1W 5DB,2.1956862443509513
Furzedown Student Village,£222.00,3.28,SW17 9BB,10.506507212549693
iQ Highbury,£322.00,3.28,N7 7JR,5.214049335299504
iQ The Arcade,£235.00,3.22,N7 0RY,4.668978554105212
Helen Graham House,£272.00,3.19,WC1B 3BA,0.8067034996862593
urbanest King's Cross,£529.00,2.95,N1C 4BD,2.7737649893365948
